batch_id,time_step_min,reaction_conversion_pct
24,0,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
24,13,0.0
24,14,0.0
24,15,0.0
24,16,0.0
24,17,0.0
24,18,0.0
24,19,0.0
24,20,0.0
24,21,2.0264
24,22,4.3841
24,23,5.9192
24,24,6.9967
24,25,8.0808
24,26,9.1703
24,27,10.2645
24,28,11.3627
24,29,12.4643
24,30,13.5688
24,31,14.6757
24,32,15.7847
24,33,16.8955
24,34,18.0077
24,35,19.1213
24,36,20.2359
24,37,21.3514
24,38,22.4678
24,39,23.5848
24,40,24.7023
24,41,25.8204
24,42,26.9388
24,43,28.0576
24,44,29.1767
24,45,30.2961
24,46,31.4156
24,47,32.5354
24,48,33.6553
24,49,34.7753
24,50,35.8954
24,51,37.0157
24,52,38.136
24,53,39.2564
24,54,40.3768
24,55,41.4973
24,56,42.6178
24,57,43.7384
24,58,44.859
24,59,45.9796
24,60,47.1003
24,61,48.2209
24,62,49.3416
24,63,50.4623
24,64,51.583
24,65,52.7037
24,66,53.8245
24,67,54.9452
24,68,56.0659
24,69,57.1867
24,70,58.3074
24,71,59.4282
24,72,60.5489
24,73,61.6697
24,74,62.7904
24,75,63.9112
24,76,65.032
24,77,66.1527
24,78,67.2735
24,79,68.3943
24,80,69.515
24,81,70.6358
24,82,71.7566
24,83,72.8773
24,84,73.9981
24,85,75.1189
24,86,76.2396
24,87,77.3604
24,88,78.4812
24,89,79.6019
24,90,80.7227
24,91,81.8435
24,92,82.9643
24,93,84.085
24,94,85.2058
24,95,86.3036
24,96,87.3248
24,97,88.2862
24,98,89.191
24,99,90.0398
24,100,90.833
24,101,91.5715
24,102,92.2514
24,103,92.8764
24,104,93.448
24,105,93.967
24,106,94.4356
24,107,94.8565
24,108,95.2332
24,109,95.5697
24,110,95.8697
24,111,96.1372
24,112,96.3758
24,113,96.5888
24,114,96.7793
24,115,96.9499
24,116,97.1032
24,117,97.2413
24,118,97.3661
24,119,97.4791
24,120,97.5818
24,121,97.6755
24,122,97.7612
24,123,97.8397
24,124,97.9122
24,125,97.9792
24,126,98.0413
24,127,98.099
24,128,98.1529
24,129,98.2032
24,130,98.2503
24,131,98.2946
24,132,98.3364
24,133,98.3757
24,134,98.4129
24,135,98.4482
24,136,98.4817
24,137,98.5136
24,138,98.544
24,139,98.573
24,140,98.6007
24,141,98.6273
24,142,98.6528
24,143,98.6773
24,144,98.7009
24,145,98.7236
24,146,98.7456
24,147,98.7667
24,148,98.7872
24,149,98.807
24,150,98.8262
24,151,98.8448
24,152,98.8629
24,153,98.8804
24,154,98.8975
24,155,98.9141
24,156,98.9303
24,157,98.9461
24,158,98.9615
24,159,98.9765
24,160,98.9912
24,161,99.0055
24,162,99.0195
24,163,99.0332
24,164,99.0466
24,165,99.0597
24,166,99.0726
24,167,99.0852
24,168,99.0976
24,169,99.1097
24,170,99.1216
24,171,99.1332
24,172,99.1447
24,173,99.1559
24,174,99.167
24,175,99.1778
24,176,99.1885
24,177,99.199
24,178,99.2093
24,179,99.2194
24,180,99.2294
24,181,99.2392
24,182,99.2489
24,183,99.2584
24,184,99.2677
24,185,99.277
24,186,99.286
24,187,99.295
24,188,99.3038
24,189,99.3124
24,190,99.321
24,191,99.3294
24,192,99.3377
24,193,99.3459
24,194,99.354
24,195,99.3619
24,196,99.3697
24,197,99.3775
24,198,99.3851
24,199,99.3926
24,200,99.4
24,201,99.4074
24,202,99.4146
24,203,99.4217
24,204,99.4287
24,205,99.4356
24,206,99.4425
24,207,99.4492
24,208,99.4559
24,209,99.4625
24,210,99.469
24,211,99.4754
24,212,99.4817
24,213,99.4879
24,214,99.4941
24,215,99.5002
24,216,99.5002
24,217,99.5002
24,218,99.5002
24,219,99.5002
24,220,99.5002
24,221,99.5002
24,222,99.5002
24,223,99.5002
24,224,99.5002
24,225,99.5002
24,226,99.5002
24,227,99.5002
24,228,99.5002
24,229,99.5002
24,230,99.5002
24,231,99.5002
