batch_id,time_step_min,reaction_conversion_pct,time_to_endpoint_min
111,0,0.0,213.0
111,1,0.0,213.0
111,2,0.0,213.0
111,3,0.0,213.0
111,4,0.0,213.0
111,5,0.0,213.0
111,6,0.0,213.0
111,7,0.0,213.0
111,8,0.0,213.0
111,9,0.0,213.0
111,10,0.0,213.0
111,11,0.0,213.0
111,12,0.0,213.0
111,13,0.0,213.0
111,14,0.0,213.0
111,15,0.0,213.0
111,16,0.0,213.0
111,17,0.0,213.0
111,18,0.0,213.0
111,19,0.0,213.0
111,20,0.0,213.0
111,21,0.0,213.0
111,22,0.0,213.0
111,23,0.0,213.0
111,24,0.0,213.0
111,25,0.0,213.0
111,26,0.0,213.0
111,27,0.0,213.0
111,28,0.0,213.0
111,29,0.0,213.0
111,30,0.0,213.0
111,31,0.0,213.0
111,32,0.0,213.0
111,33,0.0,213.0
111,34,0.0,213.0
111,35,0.0,213.0
111,36,0.0,213.0
111,37,0.0,213.0
111,38,0.0,213.0
111,39,0.0,213.0
111,40,0.0,213.0
111,41,0.0,213.0
111,42,0.0,213.0
111,43,0.0,213.0
111,44,0.0,213.0
111,45,0.0,213.0
111,46,0.0,213.0
111,47,0.0,213.0
111,48,0.0,213.0
111,49,0.0,213.0
111,50,0.0,213.0
111,51,0.0,213.0
111,52,0.0,213.0
111,53,0.0,213.0
111,54,0.0,213.0
111,55,0.0,213.0
111,56,0.0,213.0
111,57,0.0,213.0
111,58,0.0,213.0
111,59,0.0,213.0
111,60,0.0,213.0
111,61,0.0,213.0
111,62,0.0,213.0
111,63,0.0,213.0
111,64,0.0,213.0
111,65,0.0,213.0
111,66,0.0,213.0
111,67,0.0,213.0
111,68,0.0,213.0
111,69,0.0,213.0
111,70,0.0,213.0
111,71,0.0,213.0
111,72,0.0,213.0
111,73,0.0,213.0
111,74,0.0,213.0
111,75,0.0,213.0
111,76,0.0,213.0
111,77,0.0,213.0
111,78,0.0,213.0
111,79,0.0,213.0
111,80,0.0,213.0
111,81,0.0,213.0
111,82,0.0,213.0
111,83,0.0,213.0
111,84,0.0,213.0
111,85,0.0,213.0
111,86,0.0,213.0
111,87,0.0,213.0
111,88,0.0,213.0
111,89,0.0,213.0
111,90,0.0,213.0
111,91,0.0,213.0
111,92,0.0,213.0
111,93,0.0,213.0
111,94,0.0,213.0
111,95,0.0,213.0
111,96,0.0,213.0
111,97,0.0,213.0
111,98,0.0,213.0
111,99,0.0,213.0
111,100,0.0,213.0
111,101,0.0,213.0
111,102,0.0,213.0
111,103,0.0,213.0
111,104,0.0,213.0
111,105,0.0,213.0
111,106,0.0,213.0
111,107,0.0,213.0
111,108,0.0,213.0
111,109,0.0,213.0
111,110,0.0,213.0
111,111,0.0,213.0
111,112,0.0,213.0
111,113,0.0,213.0
111,114,0.0,213.0
111,115,0.0,213.0
111,116,0.0,213.0
111,117,0.0,213.0
111,118,0.0,213.0
111,119,0.0,213.0
111,120,0.0,213.0
111,121,0.0,213.0
111,122,0.0,213.0
111,123,0.0,213.0
111,124,0.0,213.0
111,125,0.0,213.0
111,126,0.0,213.0
111,127,0.0,213.0
111,128,0.0,213.0
111,129,0.0,213.0
111,130,0.0,213.0
111,131,0.0,213.0
111,132,0.0,213.0
111,133,0.0,213.0
111,134,0.0,213.0
111,135,0.0,213.0
111,136,0.2769,213.0
111,137,0.7401,213.0
111,138,1.3303,213.0
111,139,2.0412,213.0
111,140,2.8087,213.0
111,141,3.6551,213.0
111,142,4.6817,213.0
111,143,5.9468,213.0
111,144,7.266,213.0
111,145,8.5856,213.0
111,146,9.9051,213.0
111,147,11.2246,213.0
111,148,12.5441,213.0
111,149,13.8637,213.0
111,150,15.1832,213.0
111,151,16.5027,213.0
111,152,17.8222,213.0
111,153,19.1417,213.0
111,154,20.4612,213.0
111,155,21.7808,213.0
111,156,23.1003,213.0
111,157,24.4198,213.0
111,158,25.7393,213.0
111,159,27.0588,213.0
111,160,28.3783,213.0
111,161,29.6979,213.0
111,162,31.0174,213.0
111,163,32.3369,213.0
111,164,33.6564,213.0
111,165,34.9759,213.0
111,166,36.2954,213.0
111,167,37.615,213.0
111,168,38.9345,213.0
111,169,40.254,213.0
111,170,41.5735,213.0
111,171,42.893,213.0
111,172,44.2125,213.0
111,173,45.5321,213.0
111,174,46.8516,213.0
111,175,48.1711,213.0
111,176,49.4906,213.0
111,177,50.8101,213.0
111,178,52.1296,213.0
111,179,53.4492,213.0
111,180,54.7687,213.0
111,181,56.0882,213.0
111,182,57.4077,213.0
111,183,58.7272,213.0
111,184,60.0467,213.0
111,185,61.3663,213.0
111,186,62.6858,213.0
111,187,64.0053,213.0
111,188,65.3248,213.0
111,189,66.6443,213.0
111,190,67.9638,213.0
111,191,69.2834,213.0
111,192,70.6029,213.0
111,193,71.9224,213.0
111,194,73.2419,213.0
111,195,74.5614,213.0
111,196,75.8809,213.0
111,197,77.2005,213.0
111,198,78.52,213.0
111,199,79.8395,213.0
111,200,81.159,213.0
111,201,82.4785,213.0
111,202,83.798,213.0
111,203,85.1176,213.0
111,204,86.4371,213.0
111,205,87.7566,213.0
111,206,89.0761,213.0
111,207,90.3956,213.0
111,208,91.7151,213.0
111,209,93.0347,213.0
111,210,94.3542,213.0
111,211,95.6737,213.0
111,212,96.9932,213.0
111,213,98.2629,213.0
111,214,99.1824,213.0
111,215,99.6929,213.0
111,216,99.8898,213.0
111,217,99.9556,213.0
111,218,99.9789,213.0
111,219,99.9883,213.0
111,220,99.9926,213.0
111,221,99.9948,213.0
111,222,99.996,213.0
111,223,99.9968,213.0
111,224,99.9973,213.0
111,225,99.9973,213.0
111,226,99.9974,213.0
111,227,99.9975,213.0
111,228,99.9978,213.0
111,229,99.9981,213.0
111,230,99.9984,213.0
111,231,99.9988,213.0
111,232,99.9991,213.0
111,233,99.9993,213.0
111,234,99.9995,213.0
111,235,99.9997,213.0
111,236,99.9998,213.0
111,237,99.9999,213.0
111,238,99.9999,213.0
111,239,100.0,213.0
111,240,100.0,213.0
111,241,100.0,213.0
